,LP1-Fx,LP1-Fy,LP1-Fz,LP1-Mx,LP1-My,LP1-Mz,LP2-Fx,LP2-Fy,LP2-Fz,LP2-Mx,LP2-My,LP2-Mz,LP3-Fx,LP3-Fy,LP3-Fz,LP3-Mx,LP3-My,LP3-Mz,LP4-Fx,LP4-Fy,LP4-Fz,LP4-Mx,LP4-My,LP4-Mz,,Knuckle_S,Bolt1_S,Bolt2_S,Bolt3_S,Bolt4_S,Bolt1_Loss,Bolt2_Loss,Bolt3_Loss,Bolt4_Loss,预紧力损失为百分比率分子
RandomSpace39,-1545.99,502.59,1965.89,0,0,0,-28553.61,30208.05,-2849.34,0,0,0,1804.79,-11011.35,2599.23,116339.31,6791.95,-100008.02,-2370.68,-17826.5,862.75,-32515,4642.29,-93938.34,,274.58,838.14,841.11,872.4,899.18,5.39,1.09,10.1,96.17,
RandomSpace40,-2029.9,3515.03,1228.42,0,0,0,9127.52,-21920.68,-8815.64,0,0,0,3583.49,-12920.42,2749.52,121295.74,9244.15,-50926.77,2775.25,-11682.61,3932.28,-3408.27,38021.85,-192574.75,,230.07,837.47,836.74,837.66,836.88,1.05,0.75,0.67,1.51,
RandomSpace41,-736.28,4106.74,6227.24,0,0,0,12365.28,11601.83,-3204.94,0,0,0,2786.12,8944.4,-2625.57,28895.04,-12834.6,-73362.23,7824.26,21417.16,2116.09,72198.55,-3431.28,-115382.78,,232.26,836.76,836.57,847.64,842.08,0.43,1.05,14.01,2.4,
RandomSpace42,-3025.73,5769.75,-2694.57,0,0,0,12991,-7598.14,18130.33,0,0,0,3130.17,22286.68,2711,33655.37,8881.59,-5024.66,-3857.09,-2162.86,-1971.78,58623.54,27082.42,-101614.11,,228.49,844.49,845.29,851.05,849.73,2.64,3.49,3.64,3.28,
RandomSpace43,-3028.64,-38.91,-14298.15,0,0,0,1317.86,768.09,-31707.05,0,0,0,1182.77,24708.73,10334.79,-6873.52,-25993.92,-93719.69,15631.32,-29663.87,-5725.1,-52512.51,19195.33,-86238.13,,239.46,838.17,847.21,852.39,839.96,4.9,7.81,6.37,1.8,
RandomSpace44,-2198.29,2400.08,-8020.54,0,0,0,32355.24,-40257.48,19106.2,0,0,0,686.84,-12274.95,5968.43,7087.27,-8085.45,-76957.44,-4590.33,4405.29,-4066.5,-2493.65,-7189.4,-194472.65,,259.4,844.14,850.11,892.05,869.71,2.93,3.59,15.38,10.76,
RandomSpace45,-1546.58,4926.92,-19286,0,0,0,25177.55,157.05,-32245.71,0,0,0,-856.35,27067.72,897.21,-95793.93,-17500.26,-37978.6,4941.68,22893.15,949.15,15843.89,49681.67,-38545.2,,261.52,836.96,844.07,901.56,845.66,2.09,5.66,30.82,13.63,
RandomSpace46,-3693.52,4150.59,-24932.07,0,0,0,3615.42,-29930.46,5868.55,0,0,0,2656.89,-1951.38,8839.56,98243.35,7735.64,-100101.24,-4115.41,-35109.78,-5819.27,31400.83,49629.83,-151277.56,,250.26,841.41,861.95,859.09,836.36,4.34,11.41,12.74,1.64,
RandomSpace47,-88.73,2050.78,12811.2,0,0,0,33118.6,-35300.78,-30075.11,0,0,0,3368.63,5255.17,11072.38,80298.81,-6209.29,-72463.17,-2156.39,-26081.38,-6829.41,24117.55,49235.91,-166309.92,,270.24,843.31,838.27,843.32,845.34,6.32,1.84,5.6,38.2,
RandomSpace48,2165.27,6213.84,-16184.71,0,0,0,-6021.34,-2597.62,6752.28,0,0,0,-517.15,14355.34,6740.74,-61039.1,-905.31,6106.17,10162.85,-1524.62,-6599.72,-26569.64,15048.75,-106549.34,,250.39,843.91,858.9,862.27,855.7,3.1,6.53,5.65,3.44,
RandomSpace49,1159.81,1347.25,1332.51,0,0,0,6092.64,5552.95,17446.82,0,0,0,2999.78,898.97,9831.72,122933.27,-20813.03,-49880.47,13408.21,13767.03,1903.34,-41111.55,12285.67,-124955.77,,249.62,846.55,838.03,847.99,869.66,1.77,1.69,9.49,9.42,
RandomSpace50,-1807.72,4372.2,1435.97,0,0,0,23177.82,13553.76,-27878.95,0,0,0,1186.92,-15598.54,4404.44,31035.33,-4448.64,22735.99,-1351.37,-26260.13,1765.46,-12705.55,33011.27,-84047.45,,227.35,837.17,836.06,837.47,838.69,1.18,0.55,0.69,0.7,
RandomSpace51,-1477.46,3074.51,-1221.5,0,0,0,-8990.1,-14926.51,-24965.47,0,0,0,3526.97,-16636.89,7252.63,-30204.53,7371.75,-3782.45,8787.52,-37127.79,1083.34,14904.3,10351.47,-56094.45,,233.98,839.65,836.57,837.88,843.62,3.93,0.69,2.32,2.58,
RandomSpace52,1062.6,-1906.5,-25365.65,0,0,0,21246.6,-31905.49,-6002.02,0,0,0,-476.1,-1212.4,6249.62,117659.62,-13556.38,-80315.12,1424.24,15138.24,-56.66,12423.67,11333.37,-163745.49,,260.03,841.74,848.95,901.02,853.33,2.69,4.35,24.46,15.65,
RandomSpace53,1315.69,5688.53,15239.9,0,0,0,-22488.48,-8944.19,-30220.49,0,0,0,1871.4,-24096.2,6956.26,54773.53,9610.59,-52615.26,7542.52,-14859.55,-5782.42,29338.1,11720.36,-26297.93,,250.47,864.36,849.95,865.58,855.52,8.25,3.28,5.44,5.96,
RandomSpace54,1628.22,-1962.51,6968.16,0,0,0,-1485.18,-41285.9,14043.15,0,0,0,1309.64,-26604.04,9562.02,16520.71,-8646.67,10429.66,8865.63,898.68,-1797.3,14807.88,5455.84,-74473.11,,231.33,837.85,837.17,841.45,840.13,1.56,0.93,1.67,3.07,
RandomSpace55,802.37,4306.93,-11877.15,0,0,0,-33737.27,-34234.88,-9164.19,0,0,0,3726.36,-29604.63,360.96,93971.75,4160.65,-78863.59,8985.76,-18638.63,-4919.79,-15430.5,14428.74,-46066.59,,230.02,838.64,836.52,837.19,840.23,3.26,0.87,1.42,1.87,
RandomSpace56,-2029.1,6236.88,15016.47,0,0,0,32476.1,-37118.29,-23293.15,0,0,0,595.29,-9811.34,9853.7,-34204.93,-963.93,-15069.58,4417.63,12139.05,-5253.84,45764.61,2373.43,-17910.06,,285.54,838.38,839.52,868.2,852.56,4.58,4.36,79.88,62.88,
RandomSpace57,2200.95,-4378.78,-5760.81,0,0,0,-13504.45,-13947.8,-5675.76,0,0,0,-1134.54,-16517.92,-195.34,-2585.9,4475.09,-42655.08,-1410.58,-21289.7,-3784.38,-19098.33,-555.39,-130945.77,,228.82,836.69,836.86,837.46,841.01,1.33,0.51,1.18,1.44,
RandomSpace58,-1301.15,1692.73,-7617.12,0,0,0,-14949.4,-7874.84,6784.88,0,0,0,4166.48,-1033.98,10162.9,-103210.53,-10011.28,-78035.35,-807.22,-26522.03,-6618.23,27656.77,41858.72,-123478.71,,232.57,836.53,839.18,838.63,841.04,1.74,1.22,3.84,1.52,
RandomSpace59,24.05,1953.96,-11889.5,0,0,0,-10906.9,12377.04,-14853.94,0,0,0,1648.52,19867.34,-1116.99,-13881.86,-22500.84,-66128.68,3136.76,-11371.67,1489.3,62116.73,50119.41,-1238.32,,226.36,838.95,837.62,836.63,845.19,2.9,1.13,1.11,2.16,
RandomSpace60,-4052.23,6143.72,-3185.32,0,0,0,-11570.55,27668.1,-23607.81,0,0,0,-1182.53,-7390.16,-2650.08,-74280.73,3211.67,5705.77,7969.08,-19928.97,1451.3,42462.03,10968.12,-100409.69,,227.66,838.17,836.53,836.82,848.25,3.08,0.41,1.45,5.25,
RandomSpace61,-1670.56,-3888.07,-6640.48,0,0,0,-5514.08,15348.11,-19684.08,0,0,0,1219.05,-26576.59,2795.48,-104529.64,-15889.23,-65161.16,-4507.06,-22913.4,1245.45,2784.1,33976.86,-182766.87,,229.52,837.6,835.84,838.36,848.58,2.48,0.38,1.96,4.89,
RandomSpace62,-4035.57,-2998.45,4756.17,0,0,0,-19357.02,-9960.47,-231.7,0,0,0,2087.96,24376.34,6153.92,113145.08,12240.07,-63081.61,-1528.98,-33126.28,-5359.66,53415.63,42160.99,-11091.72,,243.84,838.36,837.6,841.36,849.65,3.36,0.78,9.92,6.21,
RandomSpace63,2484.66,-3718.22,1382.03,0,0,0,-3739.96,-43126.15,4045.81,0,0,0,1162.06,-1692.49,4713.03,-4633.29,-217.48,-79039.43,7041.36,11388.07,-793.85,-40416.68,3513.28,5625.67,,246.17,838.39,837.51,844.57,838.96,0.75,1.03,2.94,6.11,
RandomSpace64,1872.24,5737.3,-18967.69,0,0,0,-16425.14,-43442.42,520.98,0,0,0,2420.98,-17200.39,4355.61,17592.97,-14102.68,-58111.74,7981.65,23950.28,-4346.5,30231.69,42415.96,-171831.53,,237.67,836.66,836.84,855.5,839.21,0.9,2.08,13.2,9.73,
RandomSpace65,80.37,-2838.51,-22146.57,0,0,0,-20472.18,18916.07,-11777.75,0,0,0,2687.14,23219.3,11318.21,-72147.23,-22863.62,-42802.77,13923.35,-7872.95,-5095.87,678.49,14017.38,-63532.18,,227.99,838.4,843.72,840.91,841.96,2.74,2.79,2.23,2.29,
RandomSpace66,1671.74,3416.5,-20446.98,0,0,0,-1847.18,21030.55,-32223.06,0,0,0,590.07,16808.31,-2249.17,-94908.66,-12070.1,-99538.74,1809.31,-27037.63,507.8,11855.55,46906.21,-165748.46,,246.65,841.92,843.36,842.71,858.83,9.82,6.4,11.26,6.54,
RandomSpace67,-3734.6,-2886.75,-22447.03,0,0,0,-3106.77,4033.63,-31157.7,0,0,0,-1180.26,-2241.03,2236.55,29130.09,9319.61,-16534.08,8581.89,4683.15,-6219.77,59973.05,14437.35,-51478.6,,228.75,839.54,844.4,852.51,837.9,2.14,3.4,3.38,1.65,
RandomSpace68,-29,1910.56,16147.93,0,0,0,3451.54,-5125.8,-9216.53,0,0,0,2939.99,25054.56,8945.62,62751.4,-26302.99,15106.1,11487.98,-8584.19,-527.21,7818.52,19071,-35514.89,,225.05,839.09,838.41,836.08,836.21,1.11,1.42,0.28,0.69,
